Year,Video Views
2023-11-29T13:00:47Z,7278886
2023-11-27T20:21:45Z,1050064
2023-10-31T20:08:57Z,1196267
2023-10-19T00:30:06Z,696792
2023-10-19T00:30:25Z,3437493
2023-09-26T11:58:51Z,1338900
2023-09-20T22:13:54Z,857197
2023-08-31T12:17:49Z,11545908
2023-08-10T06:26:11Z,1489197
2023-07-21T18:56:15Z,2505814
2023-06-24T15:56:37Z,3541103
2023-05-26T04:00:01Z,11267965
2023-05-26T04:00:19Z,8500076
2023-05-06T04:06:59Z,884474
2023-03-31T04:00:01Z,1675872
2023-03-03T05:00:16Z,262921
2023-03-03T05:00:23Z,257925
2023-03-03T05:00:29Z,709726
2023-03-03T04:56:53Z,1385247
2023-02-10T05:00:05Z,683311
2023-01-26T13:10:08Z,1425226
2022-12-08T14:00:09Z,6206403
2022-11-18T05:00:32Z,1740851
2022-11-11T17:04:21Z,50506505
2022-11-11T03:00:20Z,1217013
2022-11-11T03:00:30Z,636417
2022-11-11T03:00:06Z,706548
2022-11-09T21:05:35Z,2242473
2022-11-08T05:00:13Z,2074071
2022-11-04T14:53:16Z,57972784
2022-11-04T13:42:37Z,2629356
2022-11-01T12:31:39Z,78028885
2022-10-26T18:32:03Z,2218621
2022-10-21T12:10:21Z,125922041
2022-10-21T12:10:06Z,105500781
2022-10-20T04:15:55Z,1253541
2022-10-18T04:00:03Z,1266472
2021-11-05T12:52:19Z,1709056
2020-12-17T21:53:54Z,963585
2020-12-17T20:45:06Z,475663
2020-12-17T20:45:11Z,623673
2020-12-17T20:00:29Z,743790
2020-12-16T01:02:30Z,1559609
2020-12-15T18:09:59Z,999082
2020-12-15T05:52:57Z,2419947
2020-12-15T03:12:53Z,1759095
2020-03-20T18:01:06Z,785713
2020-01-22T15:45:12Z,8037898
2019-12-23T14:00:49Z,1574895
2019-12-16T18:43:56Z,1313389
2019-11-26T05:02:00Z,3772251
2019-11-13T12:27:46Z,39230523
2019-08-23T16:03:43Z,2368223
2019-08-23T00:06:18Z,112622
2019-08-23T00:05:52Z,294400
2019-08-23T00:05:21Z,238800
2019-08-23T00:04:42Z,394780
2019-08-22T21:47:44Z,15966196
2019-08-15T18:06:59Z,13821516
2019-07-18T15:50:29Z,2055468
2019-07-09T13:42:45Z,3195185
2019-06-20T15:00:01Z,3109991
2019-05-24T22:40:37Z,4378867
2019-05-01T19:25:22Z,4975469
2019-04-30T10:11:11Z,6316538
2018-12-13T13:08:05Z,5451067
2018-06-24T23:44:04Z,1801332
2018-05-01T23:26:41Z,511816
2018-04-05T21:06:54Z,425715
2018-03-13T21:35:45Z,2296959
2018-03-13T21:28:05Z,8517206
2018-02-09T16:01:53Z,2231271
2017-12-13T15:00:00Z,548300
2017-12-06T20:03:12Z,3673149
2017-11-15T03:43:47Z,4721001
2017-11-07T13:30:04Z,3130606
2017-10-23T14:17:17Z,3721897
2017-10-17T21:32:17Z,1953398
2017-09-27T14:51:30Z,847988
2017-09-21T14:56:22Z,792302
2017-09-21T13:16:00Z,7023512
2017-09-20T20:03:01Z,7907869
2017-09-03T12:07:45Z,61300391
2017-08-25T12:34:35Z,4815267
2017-02-02T15:13:11Z,1150167
2017-02-01T20:03:05Z,2867911
2016-01-07T21:03:14Z,21862893
2016-01-05T02:34:16Z,21990433
2015-02-19T03:15:26Z,250737
2015-02-19T03:15:08Z,241843
2014-12-31T18:14:42Z,20007999
2014-12-15T17:13:20Z,494233
2014-11-03T13:39:39Z,717019
2014-10-20T11:51:39Z,2127550
2014-10-20T11:51:21Z,629315
2014-10-16T23:09:25Z,3618922
2014-10-13T12:20:13Z,1387270
2014-10-06T20:08:47Z,395573
2014-08-19T06:54:29Z,419744
2014-04-16T22:44:24Z,3483001
2014-02-13T05:46:11Z,267076
2013-12-05T21:24:59Z,476031
2013-10-08T22:41:00Z,949683
2013-09-30T06:05:16Z,205747
2013-09-12T21:34:41Z,12863914
2013-09-06T16:35:47Z,805318
2013-08-16T15:57:47Z,183375
2013-08-14T17:23:18Z,107444
2013-08-12T15:13:58Z,123368
2013-08-01T22:14:56Z,243796
2013-07-30T14:37:58Z,150762
2013-07-29T15:59:25Z,1259590
2013-07-25T14:58:57Z,102144
2013-07-01T11:07:59Z,647426
2013-06-13T18:02:25Z,341057
2013-06-12T16:20:01Z,2607546
2013-05-15T17:01:30Z,107078
2013-05-08T13:58:36Z,232487
2013-04-06T00:39:56Z,126186
2013-03-15T21:28:24Z,381712
2013-03-15T21:22:06Z,346652
2013-03-15T21:08:37Z,707459
2013-03-15T20:51:38Z,167711
2013-02-05T21:50:27Z,927549
2013-02-05T21:31:21Z,410237
2013-02-05T21:30:26Z,424018
2013-01-27T20:59:07Z,1167225
2012-12-17T17:18:21Z,9655330
2012-11-07T17:26:22Z,197071
2012-11-02T14:48:28Z,182033
2012-11-01T20:36:58Z,186019
2012-10-31T18:41:09Z,209917
2012-10-30T16:54:49Z,200111
2012-10-29T19:21:18Z,121236
2012-10-27T01:56:56Z,514105
2012-10-26T19:48:19Z,76034
2012-10-26T19:48:41Z,105792
2012-10-26T15:31:35Z,202041
2012-10-25T16:33:57Z,194283
2012-10-24T18:49:35Z,133780
2012-10-23T21:45:45Z,182363
2012-09-20T20:27:33Z,548645
2012-08-21T15:49:27Z,336402
2012-08-14T00:09:50Z,1900122
2012-08-07T13:52:38Z,1006600
2012-06-04T17:04:19Z,985429
2012-04-24T14:50:46Z,915312
2012-04-02T03:49:00Z,1176669
2012-03-19T16:14:35Z,1917755
2011-12-19T02:51:06Z,279830
2011-12-16T22:35:51Z,166906
2011-12-16T22:21:12Z,157770
2011-12-16T22:10:23Z,266832
2011-12-16T22:08:33Z,116293
2011-12-13T21:05:40Z,99944
2011-12-13T20:50:44Z,134318
2011-12-09T23:00:19Z,196601
2011-12-09T22:47:48Z,94633
2011-12-09T18:38:29Z,182354
2011-12-08T21:06:20Z,129762
2011-12-07T23:04:15Z,161519
2011-12-07T22:23:13Z,150241
2011-11-22T17:54:03Z,245152
2011-11-19T00:11:40Z,195327
2011-11-17T23:12:02Z,297508
2011-11-17T17:38:19Z,268985
2011-09-29T00:24:46Z,1655851
2011-09-21T22:10:38Z,1188828
2011-09-21T14:27:30Z,269283
2011-09-16T15:11:21Z,375264
2011-09-02T01:04:34Z,2464609
2011-08-25T16:57:04Z,320643
2011-04-04T05:00:50Z,3208131
2011-02-23T06:28:38Z,2187843
2011-02-14T05:32:11Z,206104
2011-02-14T05:19:09Z,87331
2011-02-14T05:05:59Z,114523
2011-02-14T04:59:38Z,47822
2011-02-14T04:39:17Z,113519
2011-02-14T04:33:28Z,405447
2011-02-14T04:08:07Z,47815
2011-02-14T03:50:44Z,116910
2011-02-14T03:04:11Z,77576
2011-02-14T03:00:29Z,50997
2011-01-06T17:52:21Z,939018
2010-10-25T20:02:56Z,1452674
2010-10-19T23:10:37Z,386528
2010-06-02T18:44:29Z,540117
2010-04-26T19:58:31Z,5615239
2010-04-26T14:44:40Z,1514548
2010-04-24T03:58:16Z,1000396
2010-04-02T03:59:52Z,334551
2010-04-01T15:38:34Z,1045912
2010-03-25T16:19:23Z,869458
2010-03-12T16:10:46Z,1318531
2010-03-01T01:21:07Z,892853
2009-11-02T22:00:19Z,921426
2009-10-01T18:26:46Z,642475
2009-09-09T20:04:29Z,939889
2009-08-19T16:34:06Z,1103356
2009-08-11T03:49:48Z,438911
2009-05-08T17:02:16Z,5665993
2009-05-07T19:02:07Z,2963911
2009-04-24T21:26:31Z,1018585
2009-03-06T00:20:07Z,640555
2009-03-05T23:28:03Z,2868986
2008-11-25T18:35:47Z,801404
2008-11-17T21:25:40Z,3195952
2008-11-17T20:58:44Z,698965
2008-11-17T20:43:59Z,1491472
2008-11-17T20:35:15Z,348262
2008-11-17T20:32:42Z,494173
2008-11-17T19:55:46Z,790933
2008-09-02T17:53:24Z,303414
2008-08-17T22:26:08Z,999896
2008-06-26T23:02:37Z,675293
2008-06-26T22:05:00Z,621249
2008-06-26T21:58:19Z,837052
2008-06-26T21:55:43Z,337626
2008-06-26T21:15:51Z,742898
2008-06-26T21:02:39Z,1217405
2008-06-26T20:51:09Z,805812
2008-06-26T15:47:41Z,7313288
